Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
94.5,-195.6,-35.6,-2.16
94.7,-166.6,30.6,77.4
94.8,-31.8,96.4,34.8
95,125,-2.22,-57.2
95.2,181,-142.6,-77.6
95.3,46.6,-84.6,-10.66
95.5,-143.4,97.6,70.6
95.6,-126.2,148.2,113
95.8,60.6,36.2,93.2
95.9,114.2,-75.2,-2.44
96.1,40.8,-85.6,-97.6
96.2,53,-20.2,-97.4
96.4,37.6,75,-19.56
96.5,-139.2,123.2,45.8
96.7,-212,16.46,11.64
96.8,6.6,-187.2,-100.6
97,202,-246,-122.4
97.1,88.6,-71.8,9.58
97.3,-99.8,131.2,119
97.4,-50.2,194.2,115.8
97.6,94.4,197.2,119
97.7,80.8,184,144
97.9,-62.4,46,51.8
98,-161,-194.6,-160.4
98.2,-96.4,-314,-282
98.3,37.2,-175,-165.4
98.5,69.8,52.2,43.6
98.6,49.6,96.8,114
98.8,49.8,27,62.8
98.9,9.74,75.4,53.2
99.1,-20.4,149.6,66.4
99.2,50.2,47.2,2.66
99.4,122.6,-100,-48.6
99.5,58.4,-93.6,-9.54
99.7,-135.2,-28.6,-6.44
99.8,-282,-25.4,-92.2
100,-172.6,8.08,-86.2
100,94.4,83.6,97.8
100,204,38.8,212
100,150.6,-100.8,44.8
101,123.4,-92.6,-195.2
101,26.6,113.6,-152.4
101,-218,240,124.8
101,-300,81.2,242
101,-30,-114.2,74
101,274,-116,-151
101,268,-144,-292
102,51.8,-250,-260
102,-144.6,-94.8,35.8
102,-246,266,366
102,-174.2,338,326
102,27,35.4,-37.4
102,138.2,-172.8,-258
103,92.8,-70.4,-148.2
103,41.4,70.6,27.6
103,58.6,53.8,69.4
103,15.22,-25,55.6
103,-99.4,-58.4,43.6
103,-57.2,-40,3.24
103,87.6,-8.88,-21
104,29.6,-0.574,-12.08
104,-101.6,2.04,-8.48
104,-3.72,-2.56,-1.492
104,120.2,-21,-8.26
104,-10.28,14.46,-40.8
104,-179.6,73.4,-41
105,-108.4,34.8,9.96
105,85.6,-52,38.6
105,169.6,-60.2,-10.4
105,127.4,-1.248,-48.8
105,21.4,51.6,27.4
105,-163.2,81.6,117.6
105,-284,86.6,79.2
106,-77,18.82,-12.88
106,300,-142.8,-59.8
106,344,-270,-119.4
106,25,-145.2,-141.8
106,-174,184.6,-1.036
106,-125.6,352,186
106,-139.2,158.2,212
107,-195.8,-178.2,26.2
107,-8.34,-312,-220
107,272,-119.2,-232
107,196.2,183.4,49.2
107,-162.8,276,238
107,-230,50.8,48.2
108,122.6,-264,-220
108,332,-284,-143.2
108,90.2,65,149.6
108,-173,404,284
108,-127.2,360,177.8
108,-30.4,-74.8,-70
108,-65.4,-482,-296
109,-19.68,-362,-256
109,104,157.8,57.2
109,55,366,278
109,-46.8,16.42,90.8
109,17.58,-300,-268
109,27.2,-97.2,-246
109,-140.4,236,126.8
110,-147.2,167,306
110,75.6,-89,101.8
110,135.4,-106.4,-163.6
110,-4,31.2,-138
110,31,102,141.6
110,214,86.2,250
111,145.8,-11.16,1.386
111,-208,-117.8,-258
111,-408,-99.4,-228
111,-170.6,14.86,-5.96
111,226,60,156.2
111,344,-27.2,114.4
111,148,-96.2,-20.8
112,-107.8,-22.6,-73.8
112,-202,84.6,-58.8
112,-45.4,109.2,-2.4
112,164,79.2,125.4
112,68.6,30.8,197.6
112,-252,-55.8,43
113,-254,-148.4,-220
113,118.4,-156.6,-280
113,294,-47.2,-71
113,70.2,129.8,188.6
113,-199.6,232,266
113,-212,96.8,61.8
113,23.8,-157.4,-214
114,250,-194.6,-195.2
114,248,10.72,81.6
114,14.74,165.6,220
114,-222,138.4,93
114,-200,-11,-96.8
114,39,-147,-168
114,212,-121,-79.4
115,168.4,-20,62
115,-17.84,-1.236,100.2
115,-206,50.8,47.6
115,-250,179.8,1.296
115,-102,145.4,-40.8
115,107.2,-82.8,-36.6
116,158.4,-246,25.4
116,8.7,-194.6,5.06
116,-83.4,34.2,-66.8
116,50.4,199.6,-58.2
116,154.4,108.2,8.3
116,27.6,-50,86.6
116,-68.4,-41,120.6
117,30.2,49.6,38.4
117,64.8,46.6,-115.4
117,-71.8,-38.2,-200
117,-150.4,-55.4,-128
117,-77,59.4,119.6
117,31,164.4,416
118,97.2,37.8,348
118,113.8,-224,-180.6
118,45.4,-238,-522
118,-94.6,-34.4,-298
118,-117.8,48.6,71
118,19.42,47.8,240
118,70.4,120.2,193.4
119,-24.6,136.2,-20.2
119,-110.8,26.2,-174
119,-95.6,-53,-79.6
119,95.8,-2.6,138.4
119,328,51.6,236
119,234,-23.2,113.2
119,-202,-86.6,-66.6
120,-434,-15.16,-114.4
120,-133.8,5.92,-107.6
120,210,-94.6,-141.2
120,91,-118.2,-133.8
120,-108.6,-17.9,-33
120,89,94.6,147.6
121,338,182.6,282
121,122.4,202,138.6
121,-310,26.2,-206
121,-314,-230,-278
121,47,-189.6,91.2
121,133,57,318
121,-44,83.2,-21.2
122,-32.8,-37.4,-370
122,46.4,-13.6,-144.4
122,-4.58,67.8,308
122,27.6,22,350
122,137,-70.2,-30
122,91.6,-27.6,-308
122,-43.8,96.6,-162.2
123,-108.4,122.8,180.4
123,-108.6,51.6,288
123,-57.2,-90,-1.604
123,8.6,-256,-378
123,31.8,-216,-376
123,75,54,-0.0996
124,143.8,204,286
124,85.2,108.6,240
124,-117.8,62.4,77.6
124,-220,167.4,32.2
124,-64.4,101.8,39
124,102,-210,-29
124,69.6,-358,-144
125,56.8,-118.6,-194
125,138.8,214,-29.4
125,9.72,304,270
125,-314,104,260
125,-318,-182,-175
125,212,-230,-426
126,624,-18.4,-118
126,208,65.2,260
126,-570,-75.2,222
126,-670,-19.42,7.66
126,-22.6,270,-27.6
126,550,254,-12.22
126,526,-115.6,-81.8
127,101.6,-282,-71.4
127,-256,-109.6,16.38
