Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
84,-26.8,92.3,145
84.1,-113,-144,132
84.3,-163,-122,-82.7
84.4,-92.6,94.7,-223
84.6,71.7,146,-119
84.7,172,-17.6,51.9
84.9,122,-110,76.2
85,12.4,19.7,5.65
85.2,-70.9,146,32.4
85.3,-102,26.8,110
85.5,-26,-178,14.7
85.6,103,-115,-151
85.8,98.2,141,-90.4
85.9,-53.5,171,86.3
86.1,-139,-73.9,75.5
86.2,-59.9,-191,-61.7
86.4,52.5,-2.51,-88.9
86.5,77.4,165,14.4
86.7,48.1,65,114
86.8,28.8,-74.8,124
87,29.8,-38.7,46
87.1,-31.4,29.9,-84.5
87.3,-170,-41.8,-167
87.4,-142,-138,-85.6
87.6,120,-68.9,70.5
87.8,236,117,75.3
87.9,4.59,193,-54.4
88.1,-220,61.5,-37.5
88.2,-109,-90.9,140
88.4,138,-78.7,150
88.5,182,11.5,-86.3
88.7,36,55.9,-265
88.8,-81.9,52.7,-118
89,-53.5,-6.94,213
89.1,33.3,-92.5,288
89.3,16.4,-102,16.4
89.4,-49.1,-29.6,-234
89.6,-78.1,11.8,-210
89.7,-111,-7.55,1.19
89.9,-44.4,38.8,177
90,129,138,156
90.2,140,96.5,1.91
90.3,-17.7,-60.7,-56.1
90.5,-53.4,-104,-0.453
90.6,75.6,-0.273,-76.9
90.8,108,73.8,-216
90.9,-32.7,13,-79.6
91.1,-125,-58.5,200
91.2,-97.9,10.9,207
91.4,-52.1,83.9,-6.67
91.5,45.3,-59,-79.4
91.7,140,-243,22.7
91.8,103,-144,53.3
92,-1.41,140,-64
92.1,-142,220,-130
92.3,-287,30,-1.63
92.4,-161,-78.5,132
92.6,243,80.1,65.2
92.7,451,235,-68
92.9,196,91.6,-88.5
93,-230,-219,-48.6
93.2,-352,-298,-19.8
93.3,-71.7,-76.3,12
93.5,231,80.3,55.4
93.6,189,18.1,104
93.8,-87.8,-14.8,116
93.9,-228,83.2,10.8
94.1,-133,129,-188
94.2,17.9,16.3,-237
94.4,141,-115,52.9
94.5,228,-52.3,344
94.7,96.4,116,161
94.8,-219,90.4,-234
95,-267,-99.2,-252
95.2,26.1,-151,34.2
95.3,207,-15.8,165
95.5,141,88.1,39.7
95.6,16.5,43.3,-100
95.8,-84.8,12.9,-120
95.9,-60.2,103,-39.3
96.1,74.2,81.3,128
96.2,3.79,-140,250
96.4,-246,-233,123
96.5,-199,-19.4,-180
96.7,154,226,-278
96.8,305,177,-31.4
97,102,-73.4,162
97.1,-70.2,-206,66
97.3,-16.8,-155,-41.9
97.4,-26.9,-30.4,6.08
97.6,-167,80.3,73.4
97.7,-78.3,108,41.4
97.9,188,119,-82.8
98,144,184,-155
98.2,-183,124,-91.6
98.3,-269,-165,15.8
98.5,25.7,-341,89.6
98.6,286,-96.6,128
98.8,135,237,117
98.9,-204,175,-9.73
99.1,-193,-143,-137
99.2,154,-225,-10.4
99.4,356,-0.128,230
99.5,134,187,95.1
99.7,-302,143,-399
99.8,-387,-84.6,-431
100,35.9,-215,221
100,352,50,505
100,121,302,46.9
100,-267,25.3,-300
101,-253,-299,-190
101,75.9,-117,73.9
101,212,196,299
101,63.5,178,241
101,-10.2,-30.9,-147
101,48.9,-186,-344
101,-19.4,-157,-95.2
102,-165,93.1,91.4
102,-104,240,-2.99
102,131,12.7,-10
102,178,-216,132
102,-59,-60.8,159
102,-180,172,9.67
103,11.2,98.1,-168
103,159,-108,-211
103,100,-127,-10.8
103,58.9,5.63,304
103,-3.73,75.3,298
103,-213,14.5,-127
103,-286,12.7,-404
104,-30.6,113,-162
104,205,8.78,226
104,91.5,-216,233
104,-128,-135,-95.8
104,0.655,108,-228
104,368,153,25.8
105,337,114,235
105,-215,81.6,92.2
105,-567,-135,-144
105,-278,-373,-115
105,257,-142,56.9
105,441,389,28
105,81.2,405,-77.4
106,-340,-125,17.7
106,-240,-340,116
106,238,-95.2,30.1
106,469,41.3,-25.5
106,107,68.4,-35
106,-466,224,-154
106,-551,215,-160
107,-86,-151,101
107,366,-431,298
107,400,-254,201
107,147,144,-17.9
107,-55.3,323,-153
107,-151,130,-130
108,-181,-81.7,-70.3
108,-88.2,67.6,-162
108,9.6,214,-258
108,23.7,-67.3,13.8
108,63.2,-314,493
108,158,-65.5,475
108,198,160,-127
109,12.1,-87.1,-513
109,-336,-277,-244
109,-382,-33.2,234
109,41.1,222,413
109,382,220,220
109,256,122,-181
109,-4.13,-1.59,-448
110,-134,-97.3,-316
110,-256,-45.3,38.3
110,-286,35.6,262
110,-0.915,-27.2,273
